gene,urn,n_plp,n_blb,separation_testable,mannwhitney_p
HRAS,urn:mavedb:00000057-a-1,28,4,True,0.797615120711098
HRAS,urn:mavedb:00000057-b-1,28,4,True,0.011217309643250491
HRAS,urn:mavedb:00000057-c-1,28,4,True,0.8419113089262891
HRAS,urn:mavedb:00000057-d-1,5,0,False,
RAF1,urn:mavedb:00000061-a-1,0,3,False,
RAF1,urn:mavedb:00000061-b-1,0,3,False,
RAF1,urn:mavedb:00000061-c-1,0,3,False,
RAF1,urn:mavedb:00000061-d-1,0,3,False,
RAF1,urn:mavedb:00000061-e-1,0,3,False,
RAF1,urn:mavedb:00000061-f-1,0,3,False,
RAF1,urn:mavedb:00000061-g-1,0,3,False,
RAF1,urn:mavedb:00000061-h-1,0,3,False,
RAF1,urn:mavedb:00000061-i-1,0,3,False,
BRAF,urn:mavedb:00000091-a-1,8,0,False,
