VariationID,bucket,GeneSymbol,codes,has_functional
1070042,P/LP,NRAS,PM1; PM2_Supporting; PP3; PS1; PS3_Moderate; PS4_Supporting,True
1184933,VUS,LZTR1,BP4; PM2_Supporting; PM3; PM3_Supporting; PS3_Supporting,True
12586,P/LP,KRAS,PM1; PM2; PM6_Strong; PP2; PP3; PS3,True
12587,P/LP,KRAS,PM2_Supporting; PP2; PP3; PS2_Verystrong; PS3_Moderate; PS4,True
12588,P/LP,KRAS,PM1; PM2; PM6_Strong; PP2; PP3; PS3,True
12589,P/LP,KRAS,PM1; PM2_Supporting; PP2; PP3; PS2_Verystrong; PS3_Moderate; PS4,True
12594,P/LP,KRAS,PM2_Supporting; PP2; PP3; PS2_Verystrong; PS3_Supporting; PS4,True
12602,P/LP,HRAS,PM1; PM2; PP2; PP3; PS2_Verystrong; PS3; PS4,True
12605,P/LP,HRAS,PM2_Supporting; PP3; PS2_Verystrong; PS3_Moderate; PS4_Moderate,True
12606,P/LP,HRAS,PM1; PM2; PP2; PP3; PS2_Verystrong; PS4_Moderate,False
12610,P/LP,HRAS,PM1; PM2_Supporting; PP3; PS1; PS2; PS4_Moderate,False
12871,P/LP,SOS1,PM1; PM2; PP2; PP3; PS2_Verystrong; PS3,True
12872,P/LP,SOS1,PM2_Supporting; PM5_Strong; PP3; PS2_Verystrong; PS3_Supporting; PS4,True
13326,P/LP,PTPN11,PM2; PP1_Strong; PP2; PP3; PS2_Verystrong; PS3,True
13328,P/LP,PTPN11,PM1; PM2_Supporting; PM6; PP1; PP2; PP3; PS4,False
13329,P/LP,PTPN11,PM1; PM2; PM6; PP2; PP3; PS3; PS4,True
13331,P/LP,PTPN11,PM1; PM6_Strong; PP1_Strong; PP2; PP3; PS3; PS4,True
13333,P/LP,PTPN11,PM1; PP1_Strong; PP2; PP3; PS3; PS4,True
13341,VUS,PTPN11,PP2,False
13342,P/LP,PTPN11,PM2_Supporting; PM6_Strong; PP2; PP3; PS3_Moderate; PS4,True
13343,P/LP,PTPN11,PM2_Supporting; PP2; PP3; PS2_Verystrong; PS3_Moderate; PS4,True
13344,P/LP,PTPN11,PM2; PP1_Moderate; PP2; PP3; PS2_Verystrong; PS4_Supporting,False
13350,P/LP,MAP2K1,PM1; PM2_Supporting; PM6_Supporting; PP2; PP3; PS3_Moderate; PS4_Moderate,True
13351,P/LP,MAP2K1,PM1; PM2; PP2; PP3; PS2_Verystrong; PS3,True
135112,B/LB,PTPN11,BA1,False
13902,P/LP,NRAS,PM2_Supporting; PM6_Verystrong; PS3_Moderate; PS4,True
13903,P/LP,NRAS,PM2_Supporting; PP1; PP3; PS2_Verystrong; PS3_Moderate; PS4,True
139110,B/LB,SHOC2,BA1,False
13957,P/LP,RAF1,PM1; PM2; PM6_Strong; PP2; PS3,True
13958,P/LP,RAF1,PM1; PM2; PM6_Strong; PP2; PS3,True
13960,P/LP,RAF1,PM2_Supporting; PS2_Verystrong; PS3; PS3_Moderate; PS4,True
13964,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS2; PS3; PS4_Supporting,True
13965,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS2; PS3,True
13973,P/LP,BRAF,PM1; PM2; PP2; PP3; PS2_Verystrong; PS3,True
13974,P/LP,BRAF,PM1; PM2_Supporting; PP2; PP3; PS2_Verystrong; PS3_Supporting; PS4,True
13975,P/LP,BRAF,PM2; PP2; PP3; PS2; PS3; PS4_Moderate,True
13979,P/LP,BRAF,PM1; PM2; PM6_Strong; PP2; PP3; PS3,True
164809,VUS,NRAS,PM2_Supporting; PP3,False
167260,P/LP,MAP2K1,PM2_Supporting; PM5_Strong; PP2; PP3; PS2; PS4_Supporting,False
1723651,P/LP,MAP2K1,PM2_Supporting; PM5; PP2; PP3; PS2_Moderate,False
177672,P/LP,BRAF,PM1; PM2; PM6_Strong; PP2; PP3; PS4_Supporting,False
177778,P/LP,NRAS,PM2_Supporting; PM5_Strong; PS2_Verystrong; PS4_Moderate,False
177844,P/LP,BRAF,PM2; PM6_Strong; PP2; PP3; PS3; PS4,True
177868,P/LP,MAP2K2,PM1; PM2_Supporting; PP3; PS3_Supporting; PS4_Moderate,True
177876,VUS,MAP2K2,BP5; PM2; PP3,False
178963,VUS,BRAF,PP2,False
179025,VUS,NRAS,BP4,False
180784,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS1; PS3,True
180859,VUS,KRAS,PM2; PP2,False
180905,B/LB,MAP2K2,BS1,False
181509,B/LB,RAF1,BA1,False
